	miRNA	log(FC)	Expression
99	miR-155-5p	-0.095902	Down
107	miR-16-2-3p	-0.096258	Down
448	miR-99b-3p	-0.096479	Down
68	miR-141-3p	-0.097994	Down
40	-	-0.098656	Down
286	miR-510-5p	-0.099518	Down
385	miR-744-3p	-0.100195	Down
95	miR-153-3p	-0.100294	Down
423	miR-92a-1-5p	-0.101057	Down
140	miR-199b-5p	-0.10116	Down
27	miR-1294	-0.101405	Down
134	miR-196a-3p	-0.103498	Down
35	miR-1303	-0.103809	Down
426	miR-92b-5p	-0.104127	Down
157	miR-206	-0.109897	Down
39	miR-1307-3p	-0.110435	Down
411	miR-890	-0.111442	Down
86	miR-148a-5p	-0.112185	Down
214	miR-421	-0.113582	Down
144	miR-19b-1-5p	-0.115607	Down
322	miR-526b-3p	-0.115846	Down
279	miR-506-3p	-0.116382	Down
17	miR-1180-3p	-0.120095	Down
137	miR-198	-0.120173	Down
340	miR-585-3p	-0.120803	Down
271	miR-501-3p	-0.122416	Down
102	miR-15a-3p	-0.126734	Down
282	miR-508-5p	-0.129331	Down
112	miR-181a-3p	-0.131099	Down
319	miR-525-5p	-0.134397	Down
376	miR-618	-0.138641	Down
379	miR-621	-0.139027	Down
130	miR-194-3p	-0.140341	Down
355	miR-599	-0.140683	Down
184	miR-372-3p	-0.14232	Down
276	miR-504-5p	-0.144766	Down
100	miR-155-3p	-0.152326	Down
332	miR-545-3p	-0.152693	Down
183	miR-371a-5p	-0.153683	Down
211	miR-411-5p	-0.153907	Down
401	miR-877-5p	-0.160266	Down
142	miR-19a-5p	-0.161926	Down
56	miR-135b-5p	-0.16738	Down
403	miR-885-3p	-0.168942	Down
339	miR-584-5p	-0.171631	Down
106	miR-16-1-3p	-0.172234	Down
55	miR-135a-3p	-0.178347	Down
13	miR-10a-5p	-0.181564	Down
191	miR-375	-0.181995	Down
244	miR-484	-0.190152	Down
8	miR-105-3p	-0.199273	Down
200	miR-379-5p	-0.202342	Down
115	miR-181c-3p	-0.207302	Down
9	miR-106a-5p	-0.211278	Down
222	miR-429	-0.216553	Down
131	miR-195-5p	-0.233574	Down
218	miR-424-5p	-0.236595	Down
267	miR-499a-3p	-0.239495	Down
20	miR-129-2-3p	-0.240774	Down
98	miR-154-3p	-0.245966	Down
432	miR-936	-0.248757	Down
166	miR-210-3p	-0.256428	Down
150	miR-200c-3p	-0.259703	Down
159	miR-208b-3p	-0.259848	Down
234	miR-451a	-0.260718	Down
15	miR-10b-5p	-0.264191	Down
128	miR-193b-5p	-0.268321	Down
151	miR-200c-5p	-0.271485	Down
253	miR-489-3p	-0.271577	Down
