	mRNA	log(FC)	Expression
1735	PLPP2	-1.2234284	Down
2095	CD300LG	-1.2243449	Down
2247	ZNF519	-1.224765	Down
2311	SAV1	-1.2250628	Down
790	TAF6	-1.2253725	Down
1498	CDADC1	-1.2253921	Down
2597	ZNF595	-1.2272758	Down
1122	CTSV	-1.2276205	Down
3137		-1.2278002	Down
3035	MT1HL1	-1.2282563	Down
2049	PIK3R4	-1.2283894	Down
2818	PCDH10	-1.2294054	Down
1999	UBE2H	-1.2294057	Down
692		-1.2295902	Down
1758	TDRP	-1.2298779	Down
2546		-1.2305135	Down
1969	PCDH11Y///PCDH11X	-1.2305474	Down
2121	BIN1	-1.2308983	Down
904	ISPD-AS1	-1.231083	Down
1886	PDK3	-1.2321697	Down
2893	SMAD2	-1.2323069	Down
3311	NCS1	-1.2323096	Down
2222		-1.2329614	Down
1702	THYN1	-1.2332561	Down
638		-1.2333639	Down
1026	MT1E	-1.2340831	Down
446	UTRN	-1.2357117	Down
3195		-1.2366054	Down
2688	ARID5B	-1.2377152	Down
3327	TSTD2	-1.2379195	Down
266	CTDSPL	-1.2386767	Down
2094	LIMCH1	-1.2386934	Down
3085	DKK3	-1.2398364	Down
617	FMO2	-1.2399907	Down
2581		-1.2401416	Down
1948	LINC01500	-1.2406297	Down
1613	FBXO3	-1.2406808	Down
2602	CTDSPL	-1.2422487	Down
2693	SEMA6D	-1.2433832	Down
577	CYP4F2	-1.2435897	Down
1608	ERICH1	-1.2452926	Down
1711	C4BPA	-1.246413	Down
3348	KCTD9	-1.2464354	Down
830		-1.2470734	Down
3259	AHNAK	-1.2471337	Down
1615	SGCE	-1.2476193	Down
2780	TMF1	-1.2491523	Down
2883	HM13	-1.2493774	Down
461	LOC107984534	-1.2504046	Down
3143		-1.2509301	Down
2541		-1.2509634	Down
1415	PAN2	-1.2513654	Down
2125	PSMD9	-1.2513779	Down
1522		-1.2516156	Down
181	YBX3	-1.2521374	Down
2619	FRMD4A	-1.2537949	Down
2408	PPL	-1.2543961	Down
1216	COPG2IT1	-1.2551982	Down
2031	UBE3C	-1.2553433	Down
1033		-1.255504	Down
2830	SMYD5	-1.256083	Down
381	MIR24-2///MIR23A///LOC284454	-1.2562637	Down
2406	DUSP6	-1.2563908	Down
3194	TUSC3	-1.2564157	Down
1742		-1.2566953	Down
2906	FLNB	-1.2567702	Down
2062	TNRC18	-1.2568753	Down
1729		-1.2571745	Down
3469	LINC00161	-1.2576218	Down
361	NFE4	-1.2590071	Down
1992	PAK3	-1.2594721	Down
2582	SETBP1	-1.2605733	Down
1985	ZADH2	-1.2610118	Down
329		-1.2614648	Down
2442	MRPL37	-1.2639234	Down
587	LOC102725451///TPTEP1	-1.2641915	Down
2099		-1.2648707	Down
3189	LOC101928551	-1.2655696	Down
3202		-1.2658413	Down
1075	CDCP1	-1.2659144	Down
1511	THAP10	-1.2666705	Down
2014		-1.2667822	Down
1760	CRY2	-1.2679768	Down
1238	BSPRY	-1.2697379	Down
841	APLP2	-1.2700511	Down
1807	RAPGEF4	-1.2712113	Down
2702	FBXO32	-1.2716611	Down
1885	LOC101928052	-1.2717208	Down
209	AMOT	-1.2725576	Down
504	RGMA	-1.2729096	Down
3294	XYLB	-1.2732958	Down
942	ZNF662	-1.2735136	Down
1098	SRGAP1	-1.2735599	Down
923	UCKL1	-1.2744802	Down
2034	HIF1A	-1.2748354	Down
1779	PCDH10	-1.2762134	Down
367	BMPR1A	-1.2765723	Down
384	TEX264	-1.2765965	Down
1670	PNISR	-1.2766586	Down
805	CRYZL1	-1.278057	Down
879	LOC100507281	-1.2795435	Down
243	USP31	-1.2816568	Down
152	ST5	-1.281942	Down
3156	ZNF311	-1.2827213	Down
1361	MYB	-1.2833725	Down
2220		-1.2836114	Down
2761		-1.2839812	Down
3052	DNALI1	-1.2848234	Down
884	KLC1	-1.2852901	Down
1351		-1.2854633	Down
959	ZNF398	-1.2864071	Down
2867	APOD	-1.2867699	Down
3077	CLDN4	-1.2871964	Down
1581	GIT2	-1.2873441	Down
1719	HIST1H4PS1	-1.2878248	Down
2433		-1.2879299	Down
1501	ZKSCAN1	-1.2881038	Down
1791	LOC101928274///VSIG10	-1.2897669	Down
1633		-1.2916305	Down
3307	SLC18B1	-1.2923354	Down
3252	ZNF92	-1.2925578	Down
410	TMEM139	-1.2931173	Down
761	ITGB4	-1.2936637	Down
3384	AVIL	-1.294303	Down
3161	C6orf136	-1.2950516	Down
3099	CYP4A22///CYP4A11	-1.2959287	Down
1236	SLPI	-1.2981205	Down
813	TRMO	-1.2987613	Down
1872	CUL7	-1.2989302	Down
1465	MAU2	-1.299213	Down
556	PLAT	-1.2998085	Down
1786		-1.3009463	Down
2046		-1.3012102	Down
1928	AP3D1	-1.3013912	Down
1874	TBC1D13	-1.3018105	Down
423		-1.3024802	Down
1917	TBC1D8///RPL31	-1.3027394	Down
1774		-1.3027682	Down
2133	SLC22A17	-1.3037026	Down
2977	ESYT3	-1.3043766	Down
2665	EGF	-1.3046791	Down
2833	ACSM3	-1.3051869	Down
2676	GTF2H3	-1.3067653	Down
2015	BIN1	-1.3068509	Down
1737	LINC00537	-1.3072458	Down
3290	ROR2	-1.3074694	Down
2635		-1.3086112	Down
848	FABP7	-1.3088662	Down
895	ANKRD45	-1.309918	Down
2414		-1.3099668	Down
1109	SEC14L2	-1.3105953	Down
1922	INO80D	-1.310684	Down
448	CMYA5	-1.3110137	Down
913	CFI	-1.3110929	Down
2944	EGFR	-1.3113087	Down
827	MYBBP1A	-1.3124304	Down
855	TACSTD2	-1.3137114	Down
83	TAGLN	-1.3143722	Down
3249	HOXA3	-1.3158743	Down
2685	MICAL3	-1.3163421	Down
1207	MGC27382	-1.3175014	Down
3463	GAB1	-1.3186534	Down
1328	SSPN	-1.3187133	Down
2515	SNORD114-3	-1.3188526	Down
3076	C11orf70	-1.318945	Down
2878	COL4A5	-1.3189955	Down
677	FAM184A	-1.3203701	Down
250	NFIB	-1.3205627	Down
3367	LOC101929132	-1.3207303	Down
965	LOC101927820	-1.3212409	Down
902	SLC4A7	-1.3213982	Down
1546	SPRED1	-1.3223169	Down
658	COL28A1	-1.3224508	Down
1963	TPP2	-1.323146	Down
901	BCL10	-1.3232576	Down
2838	KCND3	-1.3242477	Down
3038	SERHL2	-1.3247147	Down
2550	CALD1	-1.3248708	Down
3332	ATP1A2	-1.3249221	Down
3298	TTC9	-1.3255694	Down
2138	KCNIP3	-1.3259015	Down
1800	ZNF529-AS1	-1.3267668	Down
2993	ADORA2B	-1.3270708	Down
3047	MACC1	-1.327326	Down
158	ACSS2	-1.3278859	Down
2022	NPIPA5///NPIPB5///NPIPB11///NPIPB8///LOC613037///NPIPB4///NPIPB3	-1.3284638	Down
1979	CLDN23	-1.3286809	Down
1814	PHLDA1	-1.3288114	Down
1759	CCDC120	-1.3304975	Down
672	SIK3	-1.330544	Down
1773	NUDT11	-1.3307401	Down
3401	KMT2B	-1.3317971	Down
729		-1.3319289	Down
1743	TM4SF18	-1.3321467	Down
2159	ENTPD5	-1.3323695	Down
2128	LOC101929988	-1.3329869	Down
2300	DKK3	-1.3341048	Down
3485	WFDC2	-1.3349183	Down
760		-1.3355543	Down
2713	PCDHB16	-1.337446	Down
859		-1.3381467	Down
2557		-1.3382335	Down
976		-1.3388821	Down
2428		-1.3396597	Down
2689	FGF14-AS2	-1.3398272	Down
1115	TANK	-1.3403716	Down
3201		-1.3405013	Down
2842		-1.3421369	Down
602	SLC9A1	-1.3435055	Down
1260	ARHGAP5	-1.3454344	Down
2789	RBMS1	-1.3457489	Down
292	ATG9B	-1.3463407	Down
1030	DNAH11	-1.3464653	Down
1456		-1.3469819	Down
1199		-1.3483606	Down
2384		-1.349662	Down
3225		-1.349838	Down
926	ROPN1	-1.3510288	Down
532		-1.3514172	Down
2549	FRAS1	-1.3514475	Down
1000		-1.351467	Down
1339	SOX9-AS1	-1.3515186	Down
1300	MAP1B	-1.351714	Down
2172	CFAP52	-1.3522243	Down
2807	PDE4D	-1.3532502	Down
211		-1.3534813	Down
1913		-1.3542011	Down
1080	C1orf226	-1.354958	Down
2223	GATC	-1.3561674	Down
490		-1.3563148	Down
2349	PCDHB3	-1.3571298	Down
1126	POLI	-1.3572054	Down
1603	EVA1C	-1.3581131	Down
1369	LINC00458	-1.3581789	Down
1167	PARPBP	-1.3582446	Down
802	LOC101927137///KIAA1456	-1.3592157	Down
541	LOC105377776	-1.359747	Down
1788	ROBO3	-1.3619337	Down
439	NCAM1	-1.3623806	Down
1480	STARD6	-1.3624743	Down
1378	ENOSF1	-1.3627481	Down
1305		-1.3628126	Down
1733	SLCO1A2	-1.3631036	Down
1412	HIPK2	-1.3634484	Down
743	DENND1B	-1.3637543	Down
999	NCOA7	-1.3652298	Down
1754	HIPK2	-1.3660146	Down
2152	LOC101930296///TBC1D26///ZNF286A	-1.3671191	Down
1736	LOC100499489	-1.3689939	Down
2748	STC2	-1.369677	Down
1128	OBSL1	-1.3698558	Down
1027	FAM129A	-1.3700099	Down
1675	FAM47A	-1.3700184	Down
634	VIPAS39	-1.3705216	Down
1422	MRGPRX3	-1.3709513	Down
2061		-1.371216	Down
2912	TTC39A	-1.3719787	Down
3135		-1.3720008	Down
2274	LOC285095	-1.3730673	Down
2358	TTYH1	-1.3736166	Down
682	RND3	-1.3758729	Down
2249	EHF	-1.3760243	Down
2859	BBS12	-1.3764541	Down
3340	CBR3-AS1	-1.3771102	Down
364		-1.3772567	Down
1252	LOC729732	-1.37726	Down
568	SYTL4	-1.3785474	Down
712	PBX3	-1.3786318	Down
3508	SDCBP2-AS1	-1.3791012	Down
1801		-1.3794497	Down
1753	MGST1	-1.3797617	Down
1540	DIAPH2	-1.3825936	Down
3289		-1.3827338	Down
299	PNISR	-1.3828383	Down
554	NFIB	-1.3830273	Down
1420	PAPOLA	-1.3838475	Down
2392	MIR99AHG	-1.38434	Down
2326	FAM86DP///FAM86B2///FAM86FP///FAM86B1///FAM86C1	-1.3853765	Down
2529	CALN1	-1.3858647	Down
2093	ACSL1	-1.3861198	Down
1918	CCDC148	-1.3866477	Down
2298	NUMA1	-1.3871602	Down
1231	TUSC8	-1.3882187	Down
1168	SEMA6A	-1.3884883	Down
2975	VPS13A	-1.3906414	Down
2149		-1.3909653	Down
1525		-1.3909981	Down
1961	ERVMER61-1	-1.3915201	Down
1271	PI3	-1.3917984	Down
2472	LGSN	-1.3922466	Down
946	SNX1	-1.3925402	Down
3217		-1.3926944	Down
1939	SLC31A1	-1.3927095	Down
2722	MYOM1	-1.393989	Down
1166	LYSMD4	-1.3948817	Down
3095	PDE1C	-1.3952074	Down
1264	CX3CR1	-1.3956776	Down
1451	CLDN15	-1.396061	Down
3497		-1.3966606	Down
510		-1.397832	Down
481	CASD1	-1.3978825	Down
1740	GAD2	-1.3986831	Down
1571	UVRAG	-1.401514	Down
1903	DDX19B	-1.4018172	Down
1574	ZNF585A	-1.403928	Down
1293	TXNIP	-1.4047143	Down
955		-1.4049676	Down
2303	FGF1	-1.4058158	Down
2657	TTC6	-1.4064924	Down
2299	ANGPTL4	-1.4069681	Down
444	DLK2	-1.407067	Down
390	SOCS2	-1.4078628	Down
2053	ZNF462	-1.4080553	Down
2958	LOC81691	-1.4087259	Down
1183	LOC101928386	-1.4088847	Down
113	YBX3	-1.4091146	Down
55	FBXO2	-1.4094639	Down
2145	TM9SF4	-1.4095839	Down
1587		-1.4099435	Down
1705	SFXN5	-1.4115579	Down
824	USP31	-1.4121502	Down
1138	SIRT3	-1.413734	Down
1125	KLHL21	-1.4145106	Down
1386		-1.4146535	Down
268	KCNH6	-1.4154942	Down
408	TRIM2	-1.4155445	Down
325	LINC00899	-1.4163064	Down
421	THRA	-1.4164425	Down
1869	ARL6	-1.4166822	Down
1357	FBXW4P1	-1.4175698	Down
2790	PPA2	-1.4192924	Down
1225	SLC5A1	-1.4197635	Down
3078	DLC1	-1.4204269	Down
1070	LOC100507472///PCSK6	-1.4209465	Down
2465	EPHX2	-1.4210431	Down
3031	UACA	-1.4211614	Down
1050	CD59	-1.4213407	Down
1280	CAT	-1.4221441	Down
1307	SRI	-1.4225105	Down
1674	ANPEP	-1.4237579	Down
2618	CLMN	-1.4265322	Down
626	AJUBA	-1.4272784	Down
3007	LINC01541	-1.4273988	Down
611	GPC3	-1.4297528	Down
1596	HNMT	-1.4299158	Down
1073	FBXO16///ZNF395	-1.430806	Down
1660	PPP1R1B	-1.431141	Down
1031	MAGI1	-1.4311731	Down
3473		-1.4315139	Down
1769	MIR6883///PER1	-1.4324518	Down
1473		-1.4326405	Down
636	ARHGEF28	-1.4331266	Down
756	USP26	-1.4333943	Down
3362	MYH3	-1.4335212	Down
2828	RIF1	-1.4341576	Down
1923		-1.4343757	Down
3382		-1.4347575	Down
741	ATP11B	-1.4366074	Down
1014	SOCS2-AS1	-1.4382369	Down
527	MRPL23	-1.4385606	Down
3127		-1.4387755	Down
1748	WDR86	-1.4390268	Down
1319	ZNF33B	-1.4391329	Down
1120	ACD	-1.4398245	Down
2290	NCBP1	-1.4399161	Down
2176	TUSC3	-1.4401255	Down
272	LIMK2	-1.440292	Down
2224	C3orf38	-1.4416319	Down
2001	SULT2B1	-1.4432285	Down
3105	SYCP3	-1.443553	Down
1752	RARS2	-1.4446853	Down
1813		-1.4450448	Down
1802	GPM6B	-1.445148	Down
1586	SCARA3	-1.4452999	Down
1427	AP1S3	-1.4453427	Down
3498	FAM171B	-1.446567	Down
3446	LOC101927734	-1.4472054	Down
269	ECHDC2	-1.4474225	Down
1394	CECR5-AS1	-1.4476089	Down
2513	FDXACB1	-1.4478925	Down
870	PLA2R1	-1.4482289	Down
2060	IFRD1	-1.4482774	Down
223	PERP	-1.4488767	Down
1090		-1.4491029	Down
1397		-1.4495088	Down
920	SNORD68///RPL13	-1.450546	Down
339	CARMN	-1.4513295	Down
908	GS1-24F4.2	-1.4523508	Down
1659	RAI14	-1.4526505	Down
1181	SIKE1	-1.454083	Down
616	LOC100130468///APCDD1	-1.4541855	Down
1818	CDH19	-1.454339	Down
977	FANK1	-1.4550593	Down
2839	UBASH3B	-1.4551852	Down
2219	VSIG2	-1.4558226	Down
1878		-1.4560249	Down
971	ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	-1.4572955	Down
1588	PTGER3	-1.4575352	Down
537	CADM1	-1.4585413	Down
928	RLF	-1.4587105	Down
1687	SSX4B///SSX4	-1.4602059	Down
3044		-1.4625983	Down
2278	FANCM	-1.462806	Down
1104	ALCAM	-1.4640327	Down
797	LUZP1	-1.4640751	Down
1449	PPIL6	-1.4647035	Down
514	LOC101928043	-1.4650731	Down
1857	PGR	-1.4656996	Down
796	LGR6	-1.4662052	Down
1619	HSDL2	-1.467119	Down
1899	ERICH5	-1.4695874	Down
2396	NRG1	-1.4697189	Down
2280	DCUN1D1	-1.4700714	Down
3296	DHX57	-1.4706084	Down
2063	SCUBE2	-1.4724997	Down
1012		-1.475647	Down
187	NDRG2	-1.4770345	Down
1731		-1.4783342	Down
1273	PPARA	-1.47869	Down
1323	EVI5	-1.4801473	Down
662	PPP1R14A	-1.4806679	Down
775	RITA1	-1.4809938	Down
2070	CASZ1	-1.481251	Down
2983	LINC01016	-1.4817502	Down
1209	SAV1	-1.4822874	Down
2331		-1.4832134	Down
1197	GRAMD3	-1.4853127	Down
2179	GPRASP1	-1.4867485	Down
2229	MBD4	-1.4889029	Down
3319	EHF	-1.4895133	Down
1469	KANSL1L	-1.4900674	Down
851	LOC101928697	-1.4904089	Down
770	ANKFY1	-1.4908336	Down
2990	ZADH2	-1.4908585	Down
711	NFIB	-1.4908747	Down
285	CAB39L	-1.4911691	Down
2662	RAD23B	-1.4935429	Down
916	KDM5C	-1.4935652	Down
2036	SSX1	-1.4953059	Down
2730	ALDH3B2	-1.4963818	Down
1169		-1.4971106	Down
163	ZNF462	-1.4978862	Down
621	FAM120B	-1.4987513	Down
443	FRMD4B	-1.4989523	Down
1943	SPATA33	-1.4992756	Down
2959	EPHA7	-1.4998834	Down
2587	EFCAB14	-1.4999002	Down
1042		-1.4999749	Down
3312	MMAB	-1.5007072	Down
1182	COL27A1	-1.5012563	Down
153	LOC100506990	-1.5027728	Down
2304	LINC00173	-1.5030314	Down
2100	MAMDC2	-1.5060975	Down
281	CEP104	-1.5069009	Down
2952	SLC26A1	-1.5088793	Down
2226	DOCK5	-1.5090094	Down
242		-1.5091378	Down
1127	LOC101927196	-1.5097566	Down
3103		-1.5106964	Down
2245	SYNPO2	-1.5118321	Down
1159	NUP62CL	-1.5122044	Down
2500	C10orf126	-1.5122233	Down
778	FUT9	-1.5144139	Down
2343	NPAS3	-1.5146022	Down
3287	LOC101929964///LINC01184	-1.5155108	Down
1256	SART1	-1.5163426	Down
2129	FGF20	-1.518611	Down
2804	MIR4697///MIR4697HG	-1.520135	Down
750		-1.5214151	Down
320		-1.5225855	Down
930	OR5E1P	-1.5228047	Down
1048	SLC16A5	-1.5229739	Down
2881	SLC38A9	-1.5232211	Down
1612	AIG1	-1.5235954	Down
1208	ATG12	-1.5246971	Down
1479	SLC30A5	-1.5257871	Down
720	SEMA5A	-1.5268352	Down
2555	EFNB3	-1.5270736	Down
369	ABCA5	-1.5274724	Down
2716	FAXDC2	-1.5275556	Down
2793	LOC101060391	-1.5278568	Down
3172	BHLHE41	-1.5302798	Down
2082	LOC100505851	-1.5320719	Down
1110		-1.5335844	Down
1294		-1.5365899	Down
1492	N4BP2L1	-1.5392778	Down
854	GRIK1	-1.5394972	Down
171	CRIPT	-1.54083	Down
3146	ATP6V1C2	-1.5410518	Down
2288	ITIH4	-1.541982	Down
2563	LOC100130992	-1.5420215	Down
1139		-1.5435094	Down
3139		-1.5447854	Down
2361	RYR1	-1.5471633	Down
1811	TGFBR3	-1.5476315	Down
1221	LINC01492	-1.5477251	Down
2171	CXCL1	-1.5478678	Down
1039	CLMN	-1.5486738	Down
262	ZNF821	-1.548923	Down
1809	ANKRD28	-1.549832	Down
2496	RBBP6	-1.5506764	Down
3167	CMTM8	-1.552036	Down
2241	TSHZ2	-1.5528213	Down
528		-1.5535595	Down
2076		-1.5544729	Down
1443		-1.5557963	Down
1094		-1.5559908	Down
580	RIPK4	-1.5562702	Down
1618	FASTK	-1.5566787	Down
1078	KY	-1.5577207	Down
1022		-1.5585905	Down
1472	FRMD3	-1.5589153	Down
2753	LOC101928747///RBMX///SNORD61	-1.559158	Down
259	TGFB1I1	-1.5594307	Down
472	CNOT7	-1.5606953	Down
1067	ARHGAP26	-1.5624327	Down
633	JUN	-1.5626763	Down
342	COL7A1	-1.5627674	Down
1040	JADE1	-1.5635627	Down
1024	CA8	-1.5638287	Down
288	HOXA4	-1.5654282	Down
108		-1.5656527	Down
2422	TM4SF18	-1.5661135	Down
303	ANXA1	-1.566491	Down
1211		-1.566717	Down
1418	IKBIP	-1.5700288	Down
400	NDUFC2-KCTD14///KCTD14	-1.5712563	Down
2363	FAM107A	-1.5717078	Down
624	LOC100289061	-1.5722542	Down
808	TMEM44-AS1	-1.5726215	Down
3001		-1.574792	Down
1282		-1.5759993	Down
1240	SLC25A15	-1.5771157	Down
124	ACTA2	-1.5777202	Down
2907		-1.5789743	Down
489	HPGD	-1.5801124	Down
3397	ARMCX4	-1.5818794	Down
2195	SNTB2	-1.5821284	Down
2212	FMO5	-1.5834481	Down
807	FBXO16///ZNF395	-1.58378	Down
248	KRT7	-1.5841242	Down
271	ERRFI1	-1.5854494	Down
3309	H2AFJ	-1.5858155	Down
1366	PALMD	-1.5863613	Down
3010	PIK3C2A	-1.5867278	Down
653	TNS4	-1.586743	Down
1331	MGST1	-1.5876501	Down
866	GCNT2	-1.587988	Down
1423	WDFY3	-1.5910566	Down
1486		-1.5921182	Down
1320		-1.5925007	Down
133	ANXA8L1///ANXA8	-1.5926746	Down
2013	NEDD4L	-1.5933624	Down
1871	BACH2	-1.5936711	Down
1882	PM20D2	-1.5939743	Down
1079	UBE4B	-1.5942657	Down
336	KIAA1324	-1.5966587	Down
373	RCAN1	-1.5982019	Down
2066	FAM227B	-1.5986438	Down
1390	ATXN3	-1.6000773	Down
2698	PTPN14	-1.6015214	Down
463		-1.6015903	Down
1251	TM4SF1	-1.6029858	Down
2154	DUSP4	-1.6037808	Down
1679	NLGN4X	-1.6041414	Down
2816	LAMA3	-1.605485	Down
1570		-1.6057949	Down
1689	RGS2	-1.6064856	Down
639	TGFA	-1.60808	Down
1329		-1.6090578	Down
686	HSPA5	-1.6090636	Down
605	CLCA2	-1.6092299	Down
1631	CDC42EP3	-1.6122161	Down
1682		-1.6124688	Down
2132	TNC	-1.6137274	Down
322	LINC01553	-1.6151854	Down
1819		-1.6152589	Down
306	LAMC2	-1.6167065	Down
219		-1.61933	Down
679	PDE1C	-1.619628	Down
1946	ADAMTS5	-1.6200638	Down
1428	EGR3	-1.6203598	Down
1401	BBX	-1.6213829	Down
3154	GRK4	-1.6213981	Down
883	SNAP29	-1.6224554	Down
1669		-1.6242314	Down
2017	KRBOX4	-1.6273727	Down
969	ELF3	-1.627489	Down
1250	STEAP4	-1.6295358	Down
958	MYOM2	-1.6303063	Down
1746	CRYZ	-1.6306024	Down
2102		-1.6310442	Down
3120	IL33	-1.6313556	Down
45	MYLK	-1.6347947	Down
1484	PJA2	-1.6365961	Down
1068	MPP7	-1.6369911	Down
2103	EIF1	-1.6386711	Down
174	FZD3	-1.6398398	Down
2908	CNOT6L	-1.6399344	Down
873		-1.641462	Down
2144		-1.6416532	Down
1003		-1.6433881	Down
1373	GPM6B	-1.6438429	Down
1106	SGSM2	-1.6440347	Down
310	ZNF542P	-1.6510742	Down
3082	DFFB	-1.655146	Down
795		-1.6568911	Down
1828		-1.6573555	Down
609		-1.6585397	Down
539	ERC1	-1.6587261	Down
1850	SORBS2	-1.6596481	Down
994		-1.6610055	Down
1558	CCDC40	-1.6615357	Down
2760	RNF150	-1.6620387	Down
1548	MYH11	-1.6631785	Down
1091	CRABP1	-1.6651179	Down
3006	CXADR	-1.6655652	Down
934	TRIM2	-1.6672073	Down
1232	CNDP2	-1.6682338	Down
877	TNFRSF10B	-1.6693914	Down
579	GLRA3	-1.6711265	Down
713	CCDC141	-1.6738832	Down
3427	ZFYVE16	-1.674476	Down
1436		-1.6751318	Down
1228	ITGB1BP1	-1.6760903	Down
1350	LINC00472	-1.6766989	Down
834	TGFB2	-1.6769708	Down
1226		-1.67873	Down
607	IMPA2	-1.6802276	Down
1663	MFSD4A	-1.6802965	Down
385	PACRGL	-1.6808012	Down
571		-1.6857148	Down
2382	INPP4B	-1.6859246	Down
308		-1.686639	Down
156	CCL28	-1.6881439	Down
3150	WISP3	-1.6896054	Down
3168	NSUN7	-1.6899159	Down
3379		-1.6910452	Down
544	STARD13	-1.6939861	Down
66	NFIB	-1.6940393	Down
1785	ZNF229	-1.6951702	Down
651	PHYHD1	-1.6957871	Down
2930		-1.6989128	Down
981	MID1	-1.7012581	Down
2389	STYK1	-1.7019193	Down
2609	RASAL2	-1.7022684	Down
375	ARHGEF5	-1.702955	Down
871	MGME1	-1.7033187	Down
295	LINC00564	-1.7038403	Down
842	ARHGEF28	-1.704945	Down
324	FOXC1	-1.7115805	Down
1152	DUOX1	-1.7144748	Down
806		-1.7145263	Down
2010	ADM	-1.7206546	Down
338	TSPAN3	-1.7213655	Down
801		-1.7229165	Down
2897	FOXN3	-1.7251546	Down
1018	XKR6	-1.7257107	Down
2667	DSG2	-1.7261273	Down
331	CHKA	-1.7270055	Down
2435	OPRPN	-1.7287981	Down
471	ITGB8	-1.7296761	Down
2505		-1.7297565	Down
1706		-1.7317842	Down
1482	DIXDC1	-1.7325528	Down
258	OTUD3	-1.7330763	Down
2782	LOC101928728	-1.7331343	Down
291	KLK5	-1.7341844	Down
1071		-1.7343549	Down
232	EGFR	-1.7350813	Down
585	MGC12488	-1.7362935	Down
937		-1.7396921	Down
1503	FAM126A	-1.7444557	Down
2495	ADAM33	-1.7447057	Down
138	LAMC2	-1.7448386	Down
1130	DNAAF1	-1.7457839	Down
1580	ABCA4	-1.7479101	Down
2601	WSB1	-1.748786	Down
987	SLC4A7	-1.7502926	Down
2508	PTGS2	-1.750548	Down
476	SMC3	-1.7506697	Down
794		-1.7512164	Down
35	IP6K1	-1.7519484	Down
545	LOC101927451	-1.7523396	Down
2615	ABCA6	-1.7537598	Down
1975	TTC6	-1.7548859	Down
715	COBL	-1.7566059	Down
485	SORBS2	-1.7567502	Down
1301	SHROOM3	-1.7582243	Down
1233	CYP2J2	-1.7589432	Down
1962		-1.7589477	Down
469		-1.7589957	Down
696	ST8SIA2	-1.7595463	Down
2417	MAOB	-1.7599778	Down
1171	CFTR	-1.7605734	Down
1333		-1.7668292	Down
676	PTGER3	-1.7684179	Down
2578	FZD7	-1.7691122	Down
1535		-1.7699758	Down
378	DUSP4	-1.7710187	Down
507	AJUBA	-1.7711005	Down
1626	CLCA4	-1.7724453	Down
924	ANKRD18A	-1.7725906	Down
2165	CA3	-1.7726081	Down
273	LMOD1	-1.7729747	Down
552	MET	-1.7731453	Down
2379	PTPN21	-1.774973	Down
3197	RARRES1	-1.7765517	Down
407		-1.7779475	Down
734	KRT6B	-1.7780827	Down
359	C8orf44-SGK3///SGK3	-1.7782818	Down
2799	MEX3C	-1.7789269	Down
800	ROPN1B	-1.7802462	Down
648	ZNF599	-1.7844331	Down
1021	CMTR2	-1.7850165	Down
264	B3GALNT2	-1.7861731	Down
253	PDGFRA	-1.7910823	Down
1621	USP47	-1.7934332	Down
1419	GFRA1	-1.7935004	Down
1782	LYPD6	-1.7963152	Down
363		-1.796398	Down
370	HOXA7	-1.796882	Down
1710	PLD1	-1.7978141	Down
828	ZNF555	-1.7995011	Down
1847	RPL36A	-1.8009201	Down
947	SAMD4A	-1.8025922	Down
500	PTN	-1.8037573	Down
707	GAS1	-1.8047186	Down
294	PTPN14	-1.806112	Down
2849	EXO5	-1.8076252	Down
847	ZNF837	-1.8093071	Down
2333	NT5DC1	-1.8111087	Down
96	CARMN///MIR145	-1.8140208	Down
142	ZBTB16	-1.8142913	Down
746	MAP2	-1.8148373	Down
1306	P3H2	-1.8162748	Down
2728	SEMA6A	-1.8163859	Down
791	MGP	-1.8181433	Down
875	BNIPL///C1orf56	-1.8189614	Down
352	QSER1	-1.8205797	Down
511	TRPC4	-1.8210747	Down
1757	HLF	-1.8212028	Down
550	DSC3	-1.8227904	Down
419	SDR42E1	-1.823123	Down
2110	ALOX15B	-1.8247649	Down
334	IL17RB	-1.8261026	Down
864	INSR	-1.8275305	Down
849	FAT2	-1.8278954	Down
237	MGP	-1.8296482	Down
420	DSG4	-1.8309041	Down
997		-1.8310482	Down
2035	RNFT1	-1.8331591	Down
728	RAB3B	-1.8333888	Down
397	EFS	-1.837823	Down
526	LINC01122	-1.8387446	Down
2040	VSNL1	-1.840339	Down
832	ANGPTL7	-1.8405989	Down
968	PDCD5	-1.8414247	Down
1217	QSOX1	-1.8429784	Down
593	EGFR	-1.8430007	Down
2321	TSPYL1	-1.8451961	Down
307	LOC101928269///LOC100506403///RUNX1	-1.8452456	Down
1074	LOC389906	-1.8505358	Down
597	TPM2	-1.8525469	Down
240	GPRC5B	-1.8571555	Down
198	NEDD4L	-1.8609548	Down
1243	FAM83B	-1.862614	Down
335	C9orf3	-1.8635775	Down
196	ANG	-1.8657811	Down
993	HLF	-1.8676779	Down
2174	VPS50	-1.869422	Down
2327	FZD1	-1.8721343	Down
768		-1.8747459	Down
940	TRABD2B	-1.8747743	Down
1745		-1.8750101	Down
212	ITGA2	-1.8752957	Down
1464		-1.8758959	Down
436	NGFR	-1.8807392	Down
245	KLK7	-1.8832045	Down
1421	PRRG4	-1.8840144	Down
2612	LRP2BP	-1.8850534	Down
160		-1.8855345	Down
