	mRNA	log(FC)	Expression
3111	SRGAP2C///SRGAP2B///SRGAP2	1.4499163	Up
788	BMP2	1.4495924	Up
474	CALN1	1.4495383	Up
1005	RABL3	1.449426	Up
1549	TGM2	1.4482728	Up
674	HHEX	1.4467421	Up
515	CD22	1.4467242	Up
1343		1.4456912	Up
2127	KIF21B	1.4456822	Up
2118	TNFAIP6	1.445605	Up
220		1.4447728	Up
3502		1.4424536	Up
803	CENPU	1.4422707	Up
3028	TTC7B	1.4415736	Up
1846	MLX	1.4382709	Up
2591	ASAP1	1.4363999	Up
1425	CSNK1G1	1.4361466	Up
396		1.4352614	Up
275		1.4289282	Up
2805	PPARGC1B	1.4289226	Up
943	PCBD2	1.426076	Up
2900	TMEM200A	1.4252647	Up
1684	DHX9	1.4246672	Up
2481	COL12A1	1.4246577	Up
3476	EMC1	1.4238212	Up
2353	KCNJ3	1.4229274	Up
785	RGS11	1.4225565	Up
1699	IL18RAP	1.4223158	Up
1579	TFEC	1.4206407	Up
2806	HOXC8	1.4199439	Up
2391	CCDC78	1.4184607	Up
3423	LILRB5	1.4182737	Up
763	RASL10A	1.4175026	Up
1468	LOC645513	1.4171174	Up
957	LOC101927650	1.415187	Up
1393	CUX1	1.4143686	Up
3157	DDHD1	1.4130217	Up
447	MKI67	1.4116794	Up
1383	LINGO1	1.4090707	Up
3419	GSPT1	1.4085923	Up
899	CTPS2	1.4082041	Up
2242	ZNF568	1.4053773	Up
337	CNGB3	1.3978735	Up
1324	CTCFL	1.396391	Up
2087	LOC100288798	1.3962702	Up
1839	CADPS	1.394917	Up
2786	HOPX	1.3941544	Up
1984		1.3930122	Up
297	LOC100129198	1.3922417	Up
522	CDC5L	1.3922402	Up
1143	TESPA1	1.3919531	Up
1953	CLIC4	1.3900367	Up
3291	LINC01588	1.3862026	Up
3098	ITPR1	1.3845721	Up
3499	ASCL2	1.3840468	Up
1325	ETV2	1.3827337	Up
623	DCK	1.3820916	Up
931	GLIS2	1.3810404	Up
1516		1.3810335	Up
2953	DHRSX	1.3807721	Up
2057	LDAH	1.3804508	Up
1852	PRRX1	1.3793374	Up
3377	EMG1	1.3787956	Up
1437	PLAA	1.3787669	Up
1891	SLC25A16	1.3786469	Up
2560	TTL	1.3761893	Up
1118	SERPINE1	1.3758859	Up
2255	COL25A1	1.3744066	Up
1890	ARID4B///RBM34	1.3742823	Up
3240	PDE4D	1.3718008	Up
3263	SDHC	1.3711455	Up
2330	FANCI	1.3708055	Up
428	THY1	1.3703267	Up
2418	FLJ37035	1.3702238	Up
2670	MMP10	1.3695481	Up
941	PET117///KAT14	1.3693932	Up
1316	MLKL	1.3664083	Up
1639		1.3655201	Up
804		1.3634739	Up
909	ARHGAP6	1.3630919	Up
3276	NUSAP1	1.3627378	Up
1911	NFYA	1.3627017	Up
1902	PRCP	1.3624115	Up
574	SCN1B	1.359929	Up
1505		1.3582779	Up
2939	RSAD2	1.3567947	Up
372	USP9X	1.3562025	Up
1986	ZBTB24	1.3524479	Up
684	LINC00692	1.348927	Up
536	CST5	1.3476361	Up
1678	DDX60L	1.3451222	Up
2056	CDC5L	1.3428742	Up
1477	STAG2	1.3427559	Up
3190	TRAC///TRAJ17///TRAV20///TRDV2	1.3417049	Up
1287	SLC36A1	1.3398584	Up
2464	PNOC	1.3397894	Up
1145	CST2	1.339044	Up
3466	ZNF367	1.3350104	Up
596	SLC35G2	1.3346564	Up
2854	TFCP2	1.3339764	Up
1713	ALG13	1.3307799	Up
2209	ZBTB11-AS1	1.3288431	Up
1121	NCOA3	1.3275626	Up
2783	SP100	1.3248713	Up
2256	PLCH1	1.3242158	Up
948	NEURL2	1.3241528	Up
890	NUDCD1	1.3235882	Up
1332	LRP8	1.32275	Up
3025	ELF4	1.3224084	Up
2892	MICB	1.3219838	Up
435		1.3203831	Up
705	HSPA6	1.3203756	Up
1215	ITGA11	1.3183608	Up
600	IGFBP7	1.3155953	Up
2123	C20orf196	1.3155005	Up
1657	MIA3	1.3119741	Up
2623	IDO1	1.3106727	Up
2183	ESM1	1.3098949	Up
680	IPO11	1.3093993	Up
1177	RBMS2	1.3074254	Up
650	PRCP	1.3068779	Up
1044	LOXL3	1.3046549	Up
2942	SPANXA2///SPANXB1///SPANXC///SPANXA1	1.3030611	Up
2429	SUGCT	1.3028513	Up
1313	CREB3L1	1.3014061	Up
3395	ZNF546	1.3010366	Up
2124	MAP3K7CL	1.2998948	Up
2537	VANGL1	1.2957792	Up
1395	FADS2	1.2949615	Up
2682	HOXC13	1.2931558	Up
2294	OSBPL3	1.2931284	Up
3071	RBM43	1.2919281	Up
3126	FNDC11	1.2900787	Up
3247	LOC730101	1.2896039	Up
1164	HIST2H2AA4///HIST2H2AA3	1.2893915	Up
2961	SIPA1L2	1.2891678	Up
2050		1.2886781	Up
