miRNA	log(FC)
miR-526a	-0.045358
miR-526b-5p	0.042928
miR-526b-3p	-0.115846
miR-532-3p	-0.301242
miR-532-5p	-0.054029
miR-539-5p	0.154748
miR-541-3p	0.062315
miR-541-5p	-0.057799
miR-542-3p	-0.285258
miR-542-5p	0.059547
miR-543	-0.057067
miR-544a	-0.346736
miR-545-3p	-0.152693
miR-545-5p	0.137054
miR-548a-3p	0.188892
miR-548a-5p	0.04551
miR-548b-3p	-0.03438
miR-548b-5p	-0.124188
miR-548c-3p	0.075346
miR-548c-5p	0.069111
miR-548d-3p	-0.071177
miR-548d-5p	0.032643
miR-548e-3p	-0.056934
miR-548f-3p	0.169044
miR-548g-3p	0.055504
miR-548h-5p	0.061325
miR-548i	0.04382
miR-548j-5p	-0.429625
miR-548k	0.041738
miR-548l	0.068093
miR-548m	-0.04951
miR-548n	-0.027519
miR-548o-3p	-0.103132
miR-548p	0.043461
miR-549a	0.038495
miR-550a-3p, miR-550a-5p	-0.054323
miR-550a-3p	-0.310442
miR-551a	0.050419
miR-551b-3p	-0.051023
miR-551b-5p	0.077366
miR-552-3p	-0.392058
miR-553	0.058593
miR-554	-0.029206
miR-555	0.230578
miR-556-3p	0.15992
miR-556-5p	0.04263
miR-557	0.080105
miR-558	0.067848
miR-559	0.248869
miR-561-3p	0.184815
miR-562	0.033677
miR-563	0.080575
miR-564	-0.166861
miR-566	0.322915
miR-567	0.045149
miR-568	-0.063566
miR-569	-0.030297
miR-570-3p	0.1772
miR-571	0.041912
miR-572	0.058736
miR-573	0.169683
miR-574-3p	0.052363
miR-574-5p	0.216542
miR-575	0.052181
miR-576-3p	-0.059256
miR-576-5p	-0.074005
miR-577	-0.023824
miR-578	0.0508
miR-579-3p	-0.025215
miR-580-3p	0.042381
miR-581	-0.067153
miR-582-3p	0.038123
miR-582-5p	-0.438996
miR-583	-0.031936
miR-584-5p	-0.171631
miR-585-3p	-0.120803
miR-586	-0.43327
miR-587	-0.093401
miR-588	-0.327889
miR-589-3p, miR-589-5p	0.039653
miR-589-3p	-0.056755
miR-590-3p	0.05325
miR-591	0.151887
miR-592	0.078865
miR-593-5p, miR-593-3p	0.038647
miR-593-5p	0.03703
miR-595	0.027943
miR-596	0.115851
miR-597-5p	0.379898
miR-598-3p	-0.035567
miR-599	-0.140683
miR-600	0.20393
miR-601	0.048494
miR-602	0.06564
miR-603	0.096365
miR-604	0.040173
miR-605-5p	0.049834
miR-606	0.099837
miR-607	0.446789
miR-608	0.09034
miR-609	-0.094915
miR-610	-0.021925
miR-611	0.048829
miR-612	0.044241
miR-613	0.060588
miR-614	0.046696
miR-615-3p	0.043579
miR-615-5p	0.05736
miR-616-3p, miR-616-5p	0.034701
miR-616-5p	-0.379495
miR-617	-0.369445
miR-618	-0.138641
miR-619-3p	0.199572
miR-620	0.037961
miR-621	-0.139027
miR-622	-0.043097
miR-623	-0.43045
miR-624-3p, miR-624-5p	0.106585
miR-624-5p	-0.039198
miR-625-5p	-0.366004
miR-625-3p	0.115495
miR-626	-0.364686
miR-627-5p	0.508736
miR-628-3p	0.104944
miR-628-5p	-0.039881
miR-629-3p, miR-629-5p	-0.036484
miR-629-3p	-0.029223
miR-630	-0.041615
miR-631	-0.110878
miR-632	0.20088
miR-633	-0.056919
miR-634	-0.425518
miR-635	-0.033707
miR-636	-0.237187
miR-637	-0.072798
miR-638	-0.251722
miR-639	0.037962
miR-640	0.14173
miR-641	-0.099781
miR-642a-5p	-0.028747
miR-643	-0.249803
miR-644a	-0.185074
miR-645	-0.130387
miR-646	-0.108352
miR-647	0.068304
miR-648	0.057028
miR-649	0.056129
miR-650	0.048858
miR-651-5p	0.039193
miR-652-3p	-0.065058
miR-653-5p	0.082681
miR-654-3p	0.081515
miR-654-5p	-0.042038
miR-655-3p	-0.053165
miR-656-3p	-0.047259
miR-657	0.13211
miR-658	0.146941
miR-659-3p	0.510441
miR-660-5p	0.054973
miR-661	0.045527
miR-662	0.447524
miR-663a	0.029209
miR-663b	-0.184872
miR-664a-3p	0.034587
miR-664a-5p	0.077278
miR-668-3p	0.074802
miR-671-3p	-0.228876
miR-671-5p	-0.071547
miR-675-5p	0.049553
miR-675-3p	-0.049852
miR-7-5p	0.087222
miR-7-1-3p	-0.031041
miR-7-2-3p	0.213656
miR-708-5p	0.085837
miR-708-3p	-0.390702
-	0.26539
miR-744-5p	0.026848
miR-744-3p	-0.100195
miR-758-3p	-0.031025
miR-760	0.063681
miR-765	0.026623
miR-766-3p	-0.036255
miR-767-3p	-0.418044
miR-769-3p	-0.05822
miR-769-5p	-0.029207
miR-770-5p	0.046085
miR-802	0.063747
miR-873-5p	0.11547
miR-874-3p	-0.394486
miR-875-3p	0.388421
miR-875-5p	0.365989
miR-876-3p	-0.035806
miR-876-5p	-0.082402
miR-877-5p	-0.160266
miR-877-3p	0.034958
miR-885-3p	-0.168942
miR-885-5p	-0.091443
-	-0.044678
-	0.057556
miR-887-3p	0.04681
miR-888-5p	-0.033355
miR-888-3p	-0.05332
miR-889-3p	0.028928
miR-890	-0.111442
miR-891a-5p	0.022746
miR-891b	0.782343
miR-892a	0.082229
miR-892b	-0.034436
miR-9-5p	-0.066229
miR-9-3p	-0.281113
miR-920	0.02836
miR-921	0.023645
miR-922	-0.021118
-	-0.073613
miR-924	-0.021322
miR-92a-3p	-0.038207
miR-92a-1-5p	-0.101057
miR-92a-2-5p	0.0707
miR-92b-3p	0.232948
miR-92b-5p	-0.104127
miR-93-5p	-0.054224
miR-93-3p	0.051356
miR-933	0.102103
miR-934	-0.036155
miR-935	-0.05047
miR-936	-0.248757
miR-937-3p	-0.050608
miR-938	-0.03829
miR-939-5p	0.060893
miR-940	0.042758
miR-941	0.424014
miR-942-5p	-0.076889
miR-943	0.044867
miR-944	0.038739
miR-95-3p	-0.36793
miR-96-5p	0.03648
miR-96-3p	0.026743
miR-98-5p	0.047944
miR-99a-5p	0.118184
miR-99a-3p	-0.083639
miR-99b-5p	0.02878
miR-99b-3p	-0.096479
